Time;Velocity;GForce;Acceleration;Thrust;TWR;Mass;AltitudeFromTerrain;AltitudeFromSea;DownrangeDistance;Latitude;Longitude;Apoapsis;Periapsis;Inclination;OrbitalVelocity;TargetDistance;TargetVelocity;StageDeltaV;VesselDeltaV;Pressure
8;16;ÿםג.21;פוג.13;6429.68;ÿםג.21;540.35;188.38;72.46;0;-0.1;-74.56;171;0;0.1;176;0;0;4048;5287;99
9;16;ÿםג.21;פוג.13;6429.68;ÿםג.21;540.31;188.71;72.46;0;-0.1;-74.56;171;0;0.1;176;0;0;4048;5287;98.99
10;19;ÿםג.22;פוג.18;6430.86;ÿםג.22;538.1;205.88;72.46;0;-0.1;-74.56;192;0;0.1;176;0;0;4038;5280;98.74
11;21;ÿםג.22;פוג.23;6432.51;ÿםג.22;535.8;225.99;72.46;0;-0.1;-74.56;217;0;0.1;176;0;0;4026;5272;98.45
12;23;ÿםג.23;פוג.28;6434.32;ÿםג.23;533.58;247.5;72.46;0;-0.1;-74.56;243;0;0.1;176;0;0;4015;5264;98.13
13;25;ÿםג.23;פוג.34;6435.92;ÿםג.23;531.28;272.23;72.46;0;-0.1;-74.56;274;0;0.1;177;0;0;4005;5258;97.77
14;28;ÿםג.24;פוג.39;6438.1;ÿםג.24;529.07;298.3;72.46;0;-0.1;-74.56;306;0;0.1;177;0;0;3984;5241;97.39
15;30;ÿםג.24;פוג.44;6440.43;ÿםג.25;526.77;327.87;72.46;0;-0.1;-74.56;343;0;0.1;177;0;0;3982;5244;96.96
16;33;ÿםג.25;פוג.49;6442.45;ÿםג.25;524.56;358.69;72.46;0;-0.1;-74.56;382;0;0.1;178;0;0;3973;5239;96.52
17;35;ÿםג.25;פוג.55;6445.15;ÿםג.26;522.26;393.32;72.45;0;-0.1;-74.56;425;0;0.1;178;0;0;3961;5233;96.02
18;38;ÿםג.26;02.ט‏ם;6447.99;ÿםג.26;520.04;429.1;72.45;0;-0.1;-74.56;471;0;0.1;179;0;0;3950;5228;95.51
19;40;ÿםג.26;פוג.66;6450.41;ÿםג.27;517.74;469.01;72.45;0;-0.1;-74.56;521;0;0.1;179;0;0;3940;5224;94.94
20;43;ÿםג.27;פוג.71;6453.62;ÿםג.28;515.53;509.98;72.45;0;-0.1;-74.56;574;0;0.1;180;0;0;3925;5216;94.36
21;46;ÿםג.28;פוג.77;6456.93;ÿםג.28;513.23;555.39;72.45;0;-0.1;-74.56;632;0;0.1;181;0;0;3893;5191;93.72
22;49;ÿםג.28;פוג.83;6459.73;ÿםג.29;511.02;601.75;72.45;0;-0.1;-74.56;692;0;0.1;181;0;0;3888;5193;93.07
23;52;ÿםג.29;פוג.88;6463.4;ÿםג.29;508.71;652.9;72.45;0;-0.1;-74.56;758;0;0.1;182;0;0;3882;5195;92.35
24;54;ÿםג.29;פוג.94;6467.15;01.לאנ;506.5;704.88;72.45;0;-0.1;-74.56;826;0;0.1;183;0;0;3886;5207;91.63
25;57;01.לאנ;3;6470.3;ÿםג.31;504.2;762;72.45;0.01;-0.1;-74.56;900;0;0.1;184;0;0;3877;5206;90.84
26;60;01.לאנ;03.לאי;6474.38;ÿםג.31;501.99;819.82;72.45;0.01;-0.1;-74.56;976;0;0.1;185;0;0;3840;5179;90.05
27;64;ÿםג.31;03.םמÿ;6478.51;ÿםג.32;499.69;883.13;72.45;0.01;-0.1;-74.56;1060;0;0.1;186;0;0;3834;5183;89.19
28;67;ÿםג.32;לאנ.17;6481.96;ÿםג.33;497.48;947.02;72.45;0.01;-0.1;-74.56;1144;0;0.1;187;0;0;3845;5202;88.33
